issue	created_at	state_at_snapshot	class	owner	reason	title
#9646	2026-07-07T13:19:45Z	closed	4	#10462	title:preload	Bug: a user top-level struct silently corrupts preload-cache-spliced package bodies (frozen struct type_ids shift; typeof(lu(A)) => Plots.AnimatedGif)
#9650	2026-07-07T13:51:42Z	closed	0	#9650	self-owned/no-structural-match	Bug: script call through an earlier-defined function still sees a later callee redefinition retroactively
#9651	2026-07-07T13:54:44Z	closed	0	#9651	self-owned/no-structural-match	Prevent BigFloat result producers from dropping allocation precision
#9654	2026-07-07T14:21:42Z	closed	0	#9654	self-owned/no-structural-match	Bug: VM Mandelbrot Complex hot loop is ~120x slower than Julia despite closed #8796/#9198
#9656	2026-07-07T14:24:29Z	closed	0	#9656	self-owned/no-structural-match	Prevent power shortcuts from bypassing fixed-width integer type preservation
#9659	2026-07-07T14:29:39Z	closed	5	#10463	title:broadcast	Bug: VM Mandelbrot broadcast checksum differs from Julia by 195 counts at 1700x1360
#9665	2026-07-07T14:47:37Z	closed	0	#9665	self-owned/no-structural-match	Prevention: guard source-visible method-table dispatch for top-level redefinitions
#9670	2026-07-07T15:20:40Z	closed	0	#9670	self-owned/no-structural-match	Bug: direct Irrational pi singleton equality folds false
#9673	2026-07-07T15:29:14Z	closed	0	#9673	self-owned/no-structural-match	Prevent Expr field type drift between compiler emit and inference
#9677	2026-07-07T16:00:31Z	closed	0	#9677	self-owned/no-structural-match	Prevent unsafe broad numeric promote fallback catch-alls
#9682	2026-07-07T16:34:13Z	closed	0	#9682	self-owned/no-structural-match	Prevent BigFloat conversion paths from losing signed zero or exact integer operands
#9694	2026-07-07T18:02:54Z	closed	0	#9694	self-owned/no-structural-match	[bug-prevention] specializer unary math arms emit typed instructions without operand-type guards (SqrtF64 class)
#9701	2026-07-07T18:30:02Z	closed	0	#9701	self-owned/no-structural-match	REPL: user-defined abstract types do not persist across evals (both eval models)
#9702	2026-07-07T18:31:23Z	closed	0	#9702	self-owned/no-structural-match	Prevention: guard macro quote hygiene binding boundaries
#9707	2026-07-07T19:32:05Z	closed	3	#10461	title:callable	Prevention: classify REPL callable globals by capture safety
#9714	2026-07-07T20:18:57Z	closed	2	#10460	title:unionall	Bug: UnionAll Vector alias equality returns false
#9716	2026-07-07T20:33:34Z	closed	0	#9716	self-owned/no-structural-match	Bug: fixed-width integer boundary fld/cld/rem/mod still diverge in full numeric matrix
#9717	2026-07-07T20:33:55Z	closed	0	#9717	self-owned/no-structural-match	Bug: full numeric matrix value-repr residuals for signed zero, NaN/Inf, and boundary values
#9718	2026-07-07T20:34:15Z	closed	0	#9718	self-owned/no-structural-match	Bug: BigFloat mixed signed-zero residuals remain in full numeric matrix
#9721	2026-07-07T20:56:40Z	closed	2	#10460	title:typevar	Bug: chained where display duplicates outer upper bound in inner TypeVar
#9724	2026-07-07T21:35:46Z	closed	2	#10460	title:parametric	Flaky full-suite inference-slot mismatch in numeric_bitinteger_parametric_widths_9381 (LoadSlotI64: got BigInt)
#9725	2026-07-07T21:46:11Z	closed	7	#10465	title:fixture	Bug: file-mode real scalar times Complex array fixture errors with F32 carrier
#9727	2026-07-07T21:56:03Z	closed	5	#10463	title:generator	Prevention: keep generator trait fast paths wrapper-aware
#9729	2026-07-07T22:14:43Z	closed	0	#9729	self-owned/no-structural-match	REPL: if-wrapped module const not persisted across evals (both eval models diverge from upstream)
#9731	2026-07-07T22:21:40Z	closed	0	#9731	self-owned/no-structural-match	Prevention: test inline value-parameter constructors in argument position
#9735	2026-07-07T23:04:03Z	closed	5	#10463	title:generator	Prevention: keep generator consumers off public getindex
#9737	2026-07-07T23:12:29Z	closed	5	#10463	title:eltype	Bug: push!(ComplexF64[], real) stores a Float64 value under ComplexF64 eltype
#9738	2026-07-07T23:25:01Z	closed	2	#10460	title:parametric	Flaky: numeric_bitinteger_parametric_widths_9381 fails order-dependently (~25%) with 'LoadSlotI64: expected numeric in x, got BigInt'
#9741	2026-07-07T23:48:30Z	closed	0	#9741	self-owned/no-structural-match	typeof on type-name string literal returns DataType instead of String
#9742	2026-07-07T23:53:57Z	closed	5	#10463	title:broadcast	[bug] eval-redefined function keeps executing the pre-redefinition body when called via a Function value (map/broadcast)
#9743	2026-07-08T00:00:53Z	closed	0	#9743	self-owned/no-structural-match	Bug: complex integer array literal widens to ComplexF64
#9746	2026-07-08T00:41:47Z	closed	2	#10460	title:typevar	Prevent scoped TypeVar regressions from name-only matching
#9754	2026-07-08T02:06:32Z	closed	0	#9754	self-owned/no-structural-match	Prevention: typed comprehensions must test convert-vs-constructor semantics
#9757	2026-07-08T02:37:42Z	closed	0	#9757	self-owned/no-structural-match	Prevention: Float32 colon range length must share TwicePrecision oracle
#9760	2026-07-08T02:45:41Z	closed	5	#10463	title:eltype	Non-F64 float and BigFloat array literal eltype inference gaps
#9762	2026-07-08T02:58:23Z	closed	0	#9762	self-owned/no-structural-match	Qualified Irrational singleton array literals infer Vector{Any}
#9766	2026-07-08T03:26:31Z	closed	6	#10464	title:lowering	CLI lowering reports unknown macro for @assert
#9768	2026-07-08T04:10:39Z	closed	0	#9768	self-owned/no-structural-match	Runtime typed dispatcher can route a BigInt into a concrete f(x::Int64) method (seed-dependent, #5966 class)
#9769	2026-07-08T04:10:47Z	closed	0	#9769	self-owned/no-structural-match	Base bytecode not reproducible across compiles: closure capture_names use HashSet iteration order
#9773	2026-07-08T05:02:25Z	closed	0	#9773	self-owned/no-structural-match	Rational typed array literal loses Int64 element type
#9774	2026-07-08T05:07:37Z	closed	0	#9774	self-owned/no-structural-match	Bug: showerror ignores IOBuffer after print(io, ...) support
#9776	2026-07-08T05:23:19Z	closed	0	#9776	self-owned/no-structural-match	SubArray fails AbstractVector{T} method dispatch and type-var binding
#9777	2026-07-08T05:26:29Z	closed	0	#9777	self-owned/no-structural-match	Prevention: keep explicit IOBuffer writes isolated inside sprint
#9778	2026-07-08T05:30:45Z	closed	0	#9778	self-owned/no-structural-match	Bug: end indexing on AbstractVector-dispatched Vector calls SubArray lastindex
#9780	2026-07-08T05:36:07Z	closed	2	#10460	title:promotion	Prevention: array literal promotion must cover singleton numeric structs
#9783	2026-07-08T05:49:01Z	closed	6	#10464	title:parser	Bug: subtype expression with parametric where RHS can panic parser/type handling
#9785	2026-07-08T06:03:11Z	closed	0	#9785	self-owned/no-structural-match	StaticArrays SVector{0} partial annotation fails runtime dispatch
#9786	2026-07-08T06:20:52Z	closed	6	#10464	title:destructur	Bug: NamedTuple global fails to destructure across evals under Persistent eval model (Issue #9199)
#9787	2026-07-08T06:21:13Z	closed	0	#9787	self-owned/no-structural-match	Bug: REPL struct_heap grows unbounded across a long session under Persistent eval model (violates #8625 boundedness) (Issue #9199)
#9789	2026-07-08T06:34:17Z	closed	5	#10463	title:generator	Bug: empty generator collect with dynamic body loses upstream inferred eltype
#9796	2026-07-08T07:20:48Z	closed	5	#10463	title:eltype	Prevention: guard runtime-typejoined collection builders against empty-result eltype drift
#9804	2026-07-08T09:42:40Z	closed	7	#10465	title:audit	Bug: compile/VM coupling audit is red on main
#9805	2026-07-08T10:05:04Z	closed	6	#10464	title:lowering	Prevent tuple broadcast shape regressions across lowering and materialization
#9808	2026-07-08T10:23:30Z	closed	7	#10465	title:audit	Prevention: keep compile/VM coupling audit green across test-only helpers
#9811	2026-07-08T10:57:11Z	closed	0	#9811	self-owned/no-structural-match	Bug: UnitRange step returns Int64 instead of the range element type
#9820	2026-07-08T12:14:39Z	closed	0	#9820	self-owned/no-structural-match	Prevent typed array literals from missing dynamic Array helper coverage
#9829	2026-07-08T14:05:47Z	closed	2	#10460	title:parametric	Bug: parametric constructor with runtime-computed type parameter skips field conversion — imag(1.5 + 1im) is Int64 inside a ComplexF64
#9831	2026-07-08T14:06:26Z	closed	2	#10460	title:promotion	Bug: promote() with ≥4 arguments silently returns the arguments unchanged (builtin fallback bypasses promotion and the not_sametype guard)
#9832	2026-07-08T14:06:48Z	closed	0	#9832	self-owned/no-structural-match	Bug: promote_type ignores the opposite-direction promote_rule when both directions are defined — upstream reconciles via promote_result(T,S,R1,R2) = promote_type(R1,R2)
#9833	2026-07-08T14:07:09Z	closed	2	#10460	title:subtyp	Bug: enumerated concrete promote_rule tables (Rational/BigInt/BigFloat) don't cover user-defined Integer/Real subtypes — promote_type(BigInt, MyInt) = Integer; stale Issue #5070 comments
#9834	2026-07-08T14:07:39Z	closed	0	#9834	self-owned/no-structural-match	Bug: mixed numeric array literals fall to Vector{Any} outside the special-cased set — [0x1, 2], [1f0, 2.0], [1//2, 2], mixed via variables (no general promote_typeof reduction)
#9835	2026-07-08T14:07:51Z	closed	5	#10463	title:eltype	Bug: Base.promote_op imprecise for Complex arguments — promote_op(+, Complex{Int64}, Float64) = Any (upstream: ComplexF64); zip-comprehension eltype degrades to Vector{Any}
#9837	2026-07-08T14:11:55Z	closed	5	#10463	title:broadcast	Bug: broadcast UInt128 power widens to Int64 and wraps
#9838	2026-07-08T14:15:11Z	closed	0	#9838	self-owned/no-structural-match	Bug: unary negation of typemin Int64 panics in dev-fast
#9839	2026-07-08T14:16:21Z	closed	2	#10460	title:parametric	Bug: dispatch selects a ::Type{T} where {T<:Bound} method whose bound EXCLUDES a Type{ParametricStruct} argument — silent wrong method or 'Unbound type parameter: T' instead of MethodError
#9840	2026-07-08T14:16:48Z	closed	0	#9840	self-owned/no-structural-match	Bug: type-level numeric functions on Type arguments — real(Complex{Float32}) returns ComplexF32 (silent); float(Rational{Int64}/Complex{Int64}) errors; complex(::Type) missing
#9841	2026-07-08T14:17:02Z	closed	2	#10460	title:typejoin	Bug: typejoin with a UnionAll argument over-widens — typejoin(Complex{Float64}, Complex) = Number (upstream: Complex); propagates to promote_type
#9849	2026-07-08T15:54:47Z	closed	0	#9849	self-owned/no-structural-match	Prevent numeric matrix residual allowlist regressions after milestone 62 cleanup
#9892	2026-07-08T23:56:14Z	closed	0	#9892	self-owned/no-structural-match	Bug: check_no_new_domain_builtins negative selftest reason collides with clean failure
#9896	2026-07-09T00:21:39Z	closed	0	#9896	self-owned/no-structural-match	Prevention: keep n-ary promote paths off silent unchanged-tuple fallbacks
#9909	2026-07-09T02:02:08Z	closed	2	#10460	title:promotion	Bug: type-value (Type{T}) gap forces string-based promotion, causing systematic numeric/array-literal inference failures
#9955	2026-07-09T10:47:07Z	closed	0	#9955	self-owned/no-structural-match	Bug: infer_return_type widens float(::Type{Float64}) result to Any
#9964	2026-07-09T11:40:06Z	closed	0	#9964	self-owned/no-structural-match	Bug: --dump-bytecode fails on AbstractAlgebra Partition field access
#9974	2026-07-09T13:02:43Z	closed	0	#9974	self-owned/no-structural-match	Bug: plot(f, range) dispatch falls through to generic plot(x, y)
#9975	2026-07-09T13:08:43Z	closed	3	#10461	title:function value	Bug: reflection Base function value fixture records @test failure in harness
#9979	2026-07-09T13:50:02Z	closed	3	#10461	title:function value	Bug: full suite routes ordinary function values through source-world dispatch
#9980	2026-07-09T13:50:18Z	closed	0	#9980	self-owned/no-structural-match	Bug: if-wrapped module const live-path rejection regressed in full suite
#9981	2026-07-09T14:00:07Z	closed	5	#10463	title:iterator	Bug: Base.map function value dispatch selects lazy Iterators.map
#9987	2026-07-09T15:13:23Z	closed	0	#9987	self-owned/no-structural-match	Prevention: keep function-value dispatch on value-based resolver
#9989	2026-07-09T15:31:33Z	closed	0	#9989	self-owned/no-structural-match	Bug: REPL if-wrapped module const live-path test still expects fail-closed behavior
#9990	2026-07-09T15:59:16Z	closed	0	#9990	self-owned/no-structural-match	Bug: infer_return_type widens typed dispatch caller to Any
#9992	2026-07-09T16:05:06Z	closed	3	#10461	title:callable	Prevent callable-value dispatch fixes from bypassing shared resolver policy
#9994	2026-07-09T16:30:14Z	closed	0	#9994	self-owned/no-structural-match	Bug: dispatch parity regresses zero-arg typed varargs and ambiguity MethodError
#9996	2026-07-09T17:01:23Z	closed	0	#9996	self-owned/no-structural-match	Prevention: keep REPL module live-path expectations tied to mirror collector coverage
#9998	2026-07-09T17:05:59Z	closed	0	#9998	self-owned/no-structural-match	Prevention: keep source-order method activation scoped to current source
#10002	2026-07-09T18:10:24Z	closed	0	#10002	self-owned/no-structural-match	Prevention: keep unsigned print-form separate from show-form
#10004	2026-07-09T18:16:24Z	closed	0	#10004	self-owned/no-structural-match	Bug: take!(IOBuffer) returns String instead of Vector{UInt8}
#10006	2026-07-09T18:58:24Z	closed	0	#10006	self-owned/no-structural-match	Bug: debug cargo test stack-overflows in public array literal routing regression
#10008	2026-07-09T19:10:38Z	closed	0	#10008	self-owned/no-structural-match	Prevention: keep binary write separate from display text paths
#10018	2026-07-09T21:09:14Z	closed	0	#10018	self-owned/no-structural-match	Bug: function-value step on native float StepRangeLen reads fields from RangeValue
#10019	2026-07-09T21:26:58Z	closed	0	#10019	self-owned/no-structural-match	Bug: Float32 and Float16 colon ranges report wrong StepRangeLen type parameters
#10023	2026-07-09T22:17:11Z	closed	0	#10023	self-owned/no-structural-match	Bug: long-form global assignment implicit return yields nothing
#10024	2026-07-09T22:25:50Z	closed	5	#10463	title:collect	Bug: collect on narrow integer ranges returns Vector{Any} instead of Vector{T}
#10034	2026-07-10T00:47:55Z	closed	0	#10034	self-owned/no-structural-match	Bug: keyword parameter named stderr resolves as stdio global
#10035	2026-07-10T00:57:13Z	closed	0	#10035	self-owned/no-structural-match	Bug: devnull identity is not stable
#10044	2026-07-10T01:49:36Z	closed	1	#10459	title:shadow	Prevention: compile-time stdio globals must not shadow locals
#10047	2026-07-10T01:57:22Z	closed	7	#10465	title:gate	Bug: Register VM gate treats non-Int64 numeric returns as I64
#10053	2026-07-10T02:13:51Z	closed	0	#10053	self-owned/no-structural-match	Bug: stdin identity is not stable
#10054	2026-07-10T02:32:05Z	closed	0	#10054	self-owned/no-structural-match	Bug: Register VM native recursion can bypass StackOverflowError and OOM
#10056	2026-07-10T02:35:19Z	closed	0	#10056	self-owned/no-structural-match	Prevention: keep builtin IO globals as VM-local singleton refs
#10060	2026-07-10T03:34:24Z	closed	7	#10465	title:gate	Prevention: keep register VM gate coverage aligned with supported semantics
#10067	2026-07-10T04:45:09Z	closed	0	#10067	self-owned/no-structural-match	Bug: Core.Binding undefined fields should throw UndefRefError
#10070	2026-07-10T04:49:30Z	open	0	#10070	self-owned/no-structural-match	Prevention: keep narrow-float range type surfaces synchronized
#10074	2026-07-10T05:05:14Z	closed	0	#10074	self-owned/no-structural-match	Bug: try/catch tail-position assignment returns wrong value / crashes instead of the assigned value
#10076	2026-07-10T05:11:34Z	closed	0	#10076	self-owned/no-structural-match	Bug: similar(a) with no dims mis-binds static dispatch rank for a 2-D matrix-literal source
#10077	2026-07-10T05:13:09Z	closed	3	#10461	title:function value	Bug: module-qualified function value fails isa Function (Module.func vs bare func)
#10078	2026-07-10T05:14:58Z	closed	1	#10459	reviewed:bare-name-identity	Bug: module struct bare-name alias clobbers a same-named Base struct when Base-cache reuse is bypassed
#10085	2026-07-10T05:27:40Z	closed	0	#10085	self-owned/no-structural-match	Bug: Vector(::Vector) constructor missing, breaks map(Vector, xs)
#10089	2026-07-10T06:00:36Z	closed	4	#10462	title:cache	Bug: invperm returns Vector{Float64} instead of Vector{Int64} (duplicate definition, redefinition cache collision)
#10090	2026-07-10T06:09:08Z	closed	4	#10462	explicit-ref-#10051	Bug: base_cache_schema_fingerprint.txt stale again — audit red on main after f003e2964 (Issue #9090 MethodTable move)
#10091	2026-07-10T06:13:40Z	closed	2	#10460	explicit-ref-#10049	Bug: typejoin collapses ALL parametric params to bare wrapper when only some differ (upstream widens only the differing param via UnionAll)
#10092	2026-07-10T06:14:40Z	closed	4	#10462	title:cache	Bug: standalone WeakRef target survives GC when persistent caches are enabled
#10093	2026-07-10T06:17:40Z	closed	0	#10093	self-owned/no-structural-match	Bug: @test does not catch exceptions from its expression (sjulia propagates immediately instead of recording an errored test)
#10100	2026-07-10T06:28:15Z	closed	2	#10460	explicit-ref-#10049	Bug: where-clause TypeVar binder shadowing a builtin type name causes stack overflow (self-referential bound) or silently drops the where (non-self-referential bound)
#10111	2026-07-10T06:31:19Z	open	10	#10815	title:aot	Bug: AoT compiler unifies distinct top-level let-block variables of the same name to the first-seen static type
#10112	2026-07-10T06:34:41Z	open	0	#10112	self-owned/no-structural-match	Prevent range exact-endpoint regressions across public and internal length APIs
#10133	2026-07-10T06:54:13Z	closed	0	#10133	self-owned/no-structural-match	Bug: reflection does not constant-fold a type-level ternary over a where-bound type parameter (float(::Type{Int64}) infers as Any, not Type{Float64})
#10138	2026-07-10T07:15:06Z	open	5	#10463	title:generator	Bug: all-filtered generator with function-call predicate preserves Int64 and sum returns 0 instead of upstream empty semantics
#10140	2026-07-10T07:16:10Z	closed	5	#10463	title:generator	Bug: generator over zip reports HasLength and length errors instead of upstream HasShape length
#10141	2026-07-10T07:16:55Z	closed	5	#10463	title:generator	Bug: generator over enumerate reports HasLength and length errors instead of upstream HasShape length
#10144	2026-07-10T07:43:07Z	closed	0	#10144	self-owned/no-structural-match	Bug: bounded Channel put! does not suspend producer task mid-function
#10145	2026-07-10T07:45:23Z	closed	0	#10145	self-owned/no-structural-match	Bug: Base.infer_effects reports a fully-total summary for user functions whose only side effect is inside an if/else branch
#10146	2026-07-10T07:47:47Z	closed	1	#10459	title:shadow	Parameter shadowing a numeric constructor name (f(Float64) = Float64(2)) calls the builtin instead of the parameter
#10164	2026-07-10T08:43:17Z	closed	4	#10462	title:prelude	Lowering::lower_source_file_inner never populates pending_doc — Base prelude docstrings silently dropped
#10174	2026-07-10T09:09:50Z	open	0	#10174	self-owned/no-structural-match	Bug: replace with SubstitutionString emits capture references (\1, \g<name>, \0) literally instead of substituting
#10180	2026-07-10T09:11:38Z	open	0	#10180	self-owned/no-structural-match	Bug: r"\v" matches only vertical tab, not the PCRE2 vertical-whitespace class
#10181	2026-07-10T09:11:39Z	open	0	#10181	self-owned/no-structural-match	Unsupported: regex recursion (?R) / (?n) — (?n) errors and (?R) silently matches the wrong span
#10182	2026-07-10T09:12:21Z	open	0	#10182	self-owned/no-structural-match	Bug: RegexMatch representation parity — captures/offsets are tuples (upstream: Vector), show format differs
#10183	2026-07-10T09:12:23Z	open	0	#10183	self-owned/no-structural-match	Bug: regex divergences where sjulia succeeds but upstream julia errors (variable-length lookbehind, \x{...} under ALT_BSUX, PCRE match-limit)
#10185	2026-07-10T09:25:45Z	open	7	#10465	title:audit	Prevention: audit duplicate same-signature Base definitions for divergent behavior
#10187	2026-07-10T09:33:39Z	open	5	#10463	title:eltype	Bug: map(Vector, xs) returns imprecise outer eltype for vector-of-vectors
#10190	2026-07-10T09:51:14Z	open	0	#10190	self-owned/no-structural-match	Bug: 3-D array literal with ;;; dim separators mis-shapes to Matrix instead of Array{T,3}
#10192	2026-07-10T09:56:05Z	closed	2	#10460	explicit-ref-#10049	Core.apply_type with fewer args than a parametric type's arity yields a wrong DataType instead of a partial UnionAll
#10195	2026-07-10T10:01:53Z	open	2	#10460	explicit-ref-#10049	UnionAll display does not elide a trailing free where-clause (Foo{Int64, B} where B should print as Foo{Int64})
#10196	2026-07-10T10:01:58Z	closed	4	#10462	title:preload	Bug: --precompile-base waits on preload-cache locks
#10197	2026-07-10T10:03:44Z	open	0	#10197	self-owned/no-structural-match	Bug: replace(s, pat => r; count=0) replaces every occurrence instead of none
#10199	2026-07-10T10:04:14Z	open	0	#10199	self-owned/no-structural-match	Bug: eachmatch(re, s; overlap=true) silently ignores the overlap keyword
#10201	2026-07-10T10:04:31Z	closed	0	#10201	self-owned/no-structural-match	Bug: 9198 allocation-counter tests flaky under parallel debug cargo test (global counting allocator sees sibling-test allocations)
#10203	2026-07-10T10:06:32Z	open	0	#10203	self-owned/no-structural-match	Bug: r"\h" / r"\H" (horizontal-whitespace class) silently matches ANY character
#10206	2026-07-10T10:10:48Z	closed	0	#10206	self-owned/no-structural-match	[tech-debt] ValueType::ArrayOf's Any element tag conflates 'known Any' (literal) with 'unknown' (comprehension) in the JuliaType dispatch bridge
#10212	2026-07-10T10:19:32Z	closed	2	#10460	title:typevar	Bug: getfield on a bogus field of Expr/GlobalRef/QuoteNode/LineNumberNode/TypeVar throws TypeError, not upstream's FieldError
#10213	2026-07-10T10:22:06Z	closed	3	#10461	title:callable	Prevention: audit callable array constructors against compiler intercepts
#10214	2026-07-10T10:22:09Z	open	1	#10459	title:name collision	Bug: cross-module bare-name collision in nested-function/let-helper module-scope resolution (function_module_paths / module_scope_overrides)
#10220	2026-07-10T10:30:12Z	closed	4	#10462	explicit-ref-#10051	Bug: Iterators.partition silently corrupts after a same-named module struct + cache-bypass (type-id reuse across compile passes, Refs #10051/#10078)
#10221	2026-07-10T10:31:40Z	open	0	#10221	self-owned/no-structural-match	Bug: show/println of WeakRef prints Rust Debug repr instead of WeakRef(value)
#10222	2026-07-10T10:32:16Z	open	0	#10222	self-owned/no-structural-match	Bug: print with IOContext skips IOContext-specific user show
#10223	2026-07-10T10:33:02Z	closed	4	#10462	title:cache	Prevention: cache-mode-dependent GC/WeakRef bugs are invisible to the single-cache-mode fixture harness (follow-up to #10092)
#10226	2026-07-10T10:33:56Z	closed	0	#10226	self-owned/no-structural-match	Bug: undefined name in a where-clause bound is silently accepted as a nominal type instead of UndefVarError
#10227	2026-07-10T10:38:59Z	closed	5	#10463	title:generator	Bug: generator/comprehension expression at module top level fails with UndefVarError on the lifted __gen_body_N helper
#10232	2026-07-10T10:53:15Z	open	4	#10462	title:restor	REPL: module redefinition does not reset module const state (restore_module_globals resurrects old state; both eval models)
#10234	2026-07-10T10:55:45Z	open	1	#10459	title:shadow	Module const shadowing a Base function name (e.g. const log) mis-resolves to the Base function inside module function bodies
#10235	2026-07-10T10:57:50Z	open	0	#10235	self-owned/no-structural-match	sjulia REPL multi-line continuation submits early on abstract type/let/do/quote/macro blocks (is_incomplete keyword list drift)
#10236	2026-07-10T11:03:16Z	open	1	#10459	title:bare name	Module-body let helper collection: statement-position let still unresolved; module_scope_overrides keyed by bare name collides with Main-let helpers (follow-up #10073)
#10237	2026-07-10T11:03:45Z	closed	7	#10465	title:fixture	Bug: 13 fixtures are green in the sjulia harness but red under upstream julia 1.12.6 (fixture drift found during #9671 Phase 3 aggregation)
#10240	2026-07-10T11:07:15Z	closed	0	#10240	self-owned/no-structural-match	isdefined(::Core.Binding, i::Integer) only accepts Int64/Int32 keys — other Integer widths TypeError
#10241	2026-07-10T11:07:38Z	closed	4	#10462	title:cache	PR #10229 merged with a stale base_cache_schema_fingerprint.txt snapshot
#10242	2026-07-10T11:09:05Z	closed	6	#10464	title:macro expansion	Stdlib Test macro expansions leak quote-internal variables (catch e, local threw/result) into the enclosing @testset scope
#10247	2026-07-10T11:11:12Z	closed	7	#10465	title:ratchet	PR #10067 (Core.Binding UndefRefError) added a BuiltinId variant without bumping the domain-builtins ratchet baseline
#10252	2026-07-10T11:15:30Z	closed	2	#10460	title:typevar	Dependent TypeVar bound not represented as real TypeVar reference; name-keyed state corrupts unrelated types' typejoin widening
#10257	2026-07-10T11:24:43Z	closed	4	#10462	explicit-ref-#10051	lookup_bare_struct_info ignores current_module_path: Base submodule bodies resolve a colliding bare struct name to the top-level Base struct (e.g. Threads.SpinLock)
#10258	2026-07-10T11:26:27Z	closed	4	#10462	explicit-ref-#10051	build_method_tables converts Base method signatures with the clobbered struct_table: dispatch signatures use the wrong type_id after a bare-name collision + Base cache bypass
#10274	2026-07-10T11:44:56Z	closed	2	#10460	explicit-ref-#10049	Bug: nested where-clause reusing the same binder name resolves the inner bound to a disconnected fresh TypeVar, not the outer binder (epic #10049)
#10277	2026-07-10T12:09:51Z	closed	0	#10277	self-owned/no-structural-match	Prevention: keep sprint keyword rewrites ahead of function-specific fast-path exclusions
#10279	2026-07-10T12:15:28Z	open	2	#10460	explicit-ref-#10049	[design] 名前文字列ベースの識別が型システム・struct lookup・method table で相次いで衝突バグを生んでいる
#10280	2026-07-10T12:19:41Z	closed	2	#10460	explicit-ref-#10049	Bug: where-binder rebinding cannot distinguish a qualified global reference (Core.Builtin) from the bare shadowing name (epic #10049)
#10281	2026-07-10T12:39:59Z	closed	0	#10281	self-owned/no-structural-match	Bug: Base.infer_return_type on Type{T}-ternary method (float(::Type{Int64})) infers DataType, not Type{Float64}
#10282	2026-07-10T12:40:51Z	closed	0	#10282	self-owned/no-structural-match	supertype(AbstractMatrix)/supertype(Vector) don't match upstream Julia
#10283	2026-07-10T12:42:26Z	closed	0	#10283	self-owned/no-structural-match	Bug: supertype() on a rank/dim-generic alias (AbstractMatrix, Vector) does not recurse to the correctly rank-specialized ancestor
#10284	2026-07-10T12:45:36Z	closed	3	#10461	title:function value	Bug: Base.<allowlisted-fn> qualified function value still fails isa Function (Base.sqrt vs bare sqrt)
#10290	2026-07-10T13:37:28Z	closed	0	#10290	self-owned/no-structural-match	Bug: array == uses isequal semantics for BigInt zero versus negative zero
#10294	2026-07-10T14:30:26Z	open	0	#10294	self-owned/no-structural-match	visible_using_modules_for_name ignores in_base_function_scope: Base's own function bodies see the user script's using imports
#10295	2026-07-10T14:30:55Z	open	1	#10459	explicit-ref-#10279	MethodSig/JuliaType-based dispatch also ignores struct origin: colliding-struct calls crash instead of raising MethodError
#10296	2026-07-10T14:33:49Z	open	0	#10296	self-owned/no-structural-match	Vector{SubArray} == Vector{Vector} structural equality returns false (should be true, matching upstream)
#10298	2026-07-10T14:38:18Z	open	0	#10298	self-owned/no-structural-match	Bug: @test mis-evaluates WeakKeyDict bracket lookup with array key
#10299	2026-07-10T14:44:50Z	open	2	#10460	explicit-ref-#10049	Bug: rebind_where_binders missing CoreType::Module arm breaks == for a Module-shadowing where-binder (epic #10049)
#10301	2026-07-10T14:45:41Z	open	2	#10460	explicit-ref-#10049	Bug: JuliaType::from_name's Vector{...}/Array{...}/... arms mismatch a trailing where-clause, corrupting the reparsed type
#10302	2026-07-10T14:45:58Z	open	2	#10460	explicit-ref-#10049	Bug: nested same-name where-binder bound resolution recurses forever (stack overflow) in resolve_bound_for_check
#10303	2026-07-10T14:46:11Z	open	2	#10460	explicit-ref-#10049	Bug: parenthesized value-position nested where-expression doesn't recurse through structural where-lowering
#10304	2026-07-10T14:46:25Z	open	0	#10304	self-owned/no-structural-match	Bug: bare identifier Bottom incorrectly resolves to Union{} (upstream: UndefVarError)
#10312	2026-07-10T15:39:33Z	open	0	#10312	self-owned/no-structural-match	supertype(BitVector)/supertype(BitMatrix)/supertype(BitArray) drop the Bool element parameter
#10313	2026-07-10T15:43:27Z	open	0	#10313	self-owned/no-structural-match	Bug: Union type value misclassified as DataType (isa DataType wrongly true, .a/.b field access on Union errors)
#10314	2026-07-10T15:45:28Z	open	2	#10460	title:parametric	supertype(AbstractVector{T})/supertype(AbstractMatrix{T}) (parametric instantiation) still return AbstractArray{T,N} instead of Any
#10315	2026-07-10T15:48:53Z	open	0	#10315	self-owned/no-structural-match	Comprehension result with a Union{Vector{Any},Vector{T}} overload set statically binds to Vector{Any} instead of runtime-dispatching on the concrete element type
#10318	2026-07-10T16:20:10Z	closed	0	#10318	self-owned/no-structural-match	Bug: getfield(::Module, :bogus) / dynamic module field access throws TypeError, not upstream's UndefVarError
#10321	2026-07-10T16:27:54Z	open	0	#10321	self-owned/no-structural-match	Bug: ispunct classifies ASCII symbol characters ($ + < = > ^ ` | ~) as punctuation (C-locale table instead of Unicode P* categories)
#10322	2026-07-10T16:28:23Z	open	0	#10322	self-owned/no-structural-match	Bug: string interpolation "$name!" excludes ! from the identifier (upstream interpolates name!)
#10323	2026-07-10T16:28:25Z	open	0	#10323	self-owned/no-structural-match	Bug: @nospecialize(x) in value position returns x; upstream evaluates to nothing
